lead_id,source,campaign,created_date,converted_flag
LEAD00160,Paid Search,Retention Drive,2026-02-07,0
LEAD00161,Organic Search,Q1 Spring Push,2025-06-30,0
LEAD00162,Event,Product Launch,2026-02-07,0
LEAD00163,Referral,Brand Awareness,2025-03-29,0
LEAD00164,Organic Search,Retention Drive,2025-06-05,0
LEAD00165,Paid Search,Q1 Spring Push,2025-05-12,1
LEAD00166,Organic Search,Q1 Spring Push,2025-10-22,1
LEAD00167,Referral,Product Launch,2025-03-20,1
LEAD00168,Paid Search,Competitor Conquest,2025-11-07,0
LEAD00169,Organic Search,Product Launch,2026-01-19,0
LEAD00170,Cold Outreach,Retention Drive,2025-08-31,0
LEAD00171,Organic Search,Competitor Conquest,2026-01-29,0
LEAD00172,Paid Search,Q1 Spring Push,2025-03-15,1
LEAD00173,LinkedIn,Competitor Conquest,2025-03-21,0
LEAD00174,Referral,Product Launch,2025-11-26,0
LEAD00175,LinkedIn,Retention Drive,2025-07-24,1
LEAD00176,Paid Search,Retention Drive,2025-03-22,0
LEAD00177,Paid Search,Competitor Conquest,2025-05-02,1
LEAD00178,Cold Outreach,Brand Awareness,2025-09-14,0
LEAD00179,Event,Product Launch,2025-12-03,0
LEAD00180,Event,Q1 Spring Push,2025-04-29,1
LEAD00181,Event,Retention Drive,2025-11-19,0
LEAD00182,Cold Outreach,Product Launch,2025-10-21,0
LEAD00183,Organic Search,Product Launch,2025-03-26,1
LEAD00184,Referral,Competitor Conquest,2025-12-11,0
LEAD00185,Organic Search,Q1 Spring Push,2025-04-15,1
LEAD00186,Paid Search,Competitor Conquest,2025-11-03,0
LEAD00187,Referral,Q1 Spring Push,2026-01-17,0
LEAD00188,Event,Product Launch,2025-12-21,0
LEAD00189,Referral,Retention Drive,2026-01-11,0
LEAD00190,Paid Search,Competitor Conquest,2025-05-12,1
LEAD00191,Referral,Product Launch,2025-03-30,0
LEAD00192,Paid Search,Q1 Spring Push,2025-09-26,0
LEAD00193,Paid Search,Competitor Conquest,2025-11-29,0
LEAD00194,Paid Search,Q1 Spring Push,2025-07-13,0
LEAD00195,Organic Search,Competitor Conquest,2025-12-27,0
LEAD00196,Event,Competitor Conquest,2025-12-10,0
LEAD00197,Paid Search,Competitor Conquest,2025-12-02,0
LEAD00198,LinkedIn,Product Launch,2025-09-21,0
LEAD00199,Cold Outreach,Retention Drive,2026-02-09,1
LEAD00200,Organic Search,Competitor Conquest,2025-07-20,0
LEAD00201,LinkedIn,Product Launch,2025-10-11,0
LEAD00202,Cold Outreach,Retention Drive,2025-12-14,0
LEAD00203,Event,Product Launch,2026-01-26,0
LEAD00204,Event,Competitor Conquest,2025-11-21,0
LEAD00205,Referral,Brand Awareness,2026-03-04,0
LEAD00206,Cold Outreach,Product Launch,2025-11-05,0
LEAD00207,Event,Product Launch,2025-05-13,0
LEAD00208,Event,Q1 Spring Push,2025-08-10,0
LEAD00209,Organic Search,Competitor Conquest,2025-06-26,0
LEAD00210,Event,Competitor Conquest,2025-07-09,1
LEAD00211,Cold Outreach,Q1 Spring Push,2025-07-23,0
LEAD00212,Organic Search,Retention Drive,2026-03-05,0
LEAD00213,Referral,Product Launch,2026-01-03,0
LEAD00214,Paid Search,Q1 Spring Push,2026-03-03,0
LEAD00215,LinkedIn,Product Launch,2025-03-16,0
LEAD00216,Event,Retention Drive,2026-02-27,0
LEAD00217,Referral,Product Launch,2025-03-16,0
LEAD00218,LinkedIn,Competitor Conquest,2025-03-16,0
LEAD00219,Cold Outreach,Q1 Spring Push,2025-08-26,0
LEAD00220,LinkedIn,Retention Drive,2026-02-23,0
LEAD00221,LinkedIn,Retention Drive,2025-06-07,0
LEAD00222,Paid Search,Q1 Spring Push,2025-04-28,0
LEAD00223,Cold Outreach,Q1 Spring Push,2025-06-21,0
LEAD00224,Cold Outreach,Brand Awareness,2026-02-13,0
LEAD00225,LinkedIn,Competitor Conquest,2025-04-29,1
LEAD00226,LinkedIn,Product Launch,2025-04-14,1
LEAD00227,Organic Search,Retention Drive,2025-03-13,0
LEAD00228,Paid Search,Brand Awareness,2025-11-09,0
LEAD00229,Cold Outreach,Competitor Conquest,2025-05-18,0
LEAD00230,Cold Outreach,Product Launch,2025-11-16,0
LEAD00231,LinkedIn,Retention Drive,2025-03-28,0
LEAD00232,Organic Search,Q1 Spring Push,2025-09-02,0
LEAD00233,Referral,Retention Drive,2025-06-15,0
LEAD00234,Referral,Retention Drive,2025-03-29,0
LEAD00235,LinkedIn,Competitor Conquest,2025-04-28,0
LEAD00236,Cold Outreach,Q1 Spring Push,2025-12-05,0
LEAD00237,Referral,Q1 Spring Push,2026-01-29,0
LEAD00238,Paid Search,Brand Awareness,2026-01-31,0
LEAD00239,LinkedIn,Q1 Spring Push,2025-03-20,1
LEAD00240,Paid Search,Product Launch,2025-06-18,1
LEAD00241,Organic Search,Brand Awareness,2025-08-10,0
LEAD00242,Event,Product Launch,2025-07-12,0
LEAD00243,Referral,Q1 Spring Push,2025-10-13,0
LEAD00244,Organic Search,Product Launch,2025-06-18,0
LEAD00245,Referral,Retention Drive,2025-09-17,0
LEAD00246,LinkedIn,Competitor Conquest,2025-05-12,0
LEAD00247,Event,Retention Drive,2025-07-27,0
LEAD00248,Event,Product Launch,2025-10-06,0
LEAD00249,LinkedIn,Product Launch,2025-07-07,1
LEAD00250,LinkedIn,Q1 Spring Push,2025-12-26,0
LEAD00251,Referral,Product Launch,2025-04-29,0
LEAD00252,Cold Outreach,Retention Drive,2025-10-16,0
LEAD00253,Paid Search,Product Launch,2025-12-19,0
LEAD00254,Organic Search,Brand Awareness,2025-05-21,0
LEAD00255,LinkedIn,Brand Awareness,2025-12-07,1
LEAD00256,Cold Outreach,Q1 Spring Push,2025-04-05,0
LEAD00257,LinkedIn,Product Launch,2025-09-02,0
LEAD00258,Paid Search,Retention Drive,2025-10-08,0
LEAD00259,Organic Search,Competitor Conquest,2025-06-29,1
LEAD00260,Referral,Brand Awareness,2025-12-22,0
LEAD00261,Cold Outreach,Retention Drive,2025-06-25,1
LEAD00262,Cold Outreach,Brand Awareness,2025-07-12,0
LEAD00263,Event,Product Launch,2025-05-26,0
LEAD00264,Referral,Brand Awareness,2025-03-24,0
LEAD00265,Referral,Q1 Spring Push,2025-12-30,1
LEAD00266,Organic Search,Brand Awareness,2026-02-27,0
LEAD00267,Paid Search,Competitor Conquest,2025-09-10,0
LEAD00268,Organic Search,Retention Drive,2025-04-17,1
LEAD00269,Event,Product Launch,2025-10-20,0
LEAD00270,Organic Search,Retention Drive,2025-07-26,0
LEAD00271,Organic Search,Retention Drive,2025-08-22,0
LEAD00272,LinkedIn,Retention Drive,2025-05-06,0
LEAD00273,Organic Search,Brand Awareness,2025-08-20,0
LEAD00274,Referral,Brand Awareness,2025-08-26,1
LEAD00275,LinkedIn,Brand Awareness,2025-09-13,0
LEAD00276,Referral,Retention Drive,2026-01-26,0
LEAD00277,Referral,Competitor Conquest,2025-07-28,0
LEAD00278,Cold Outreach,Competitor Conquest,2025-08-11,0
LEAD00279,Event,Retention Drive,2026-01-26,1
LEAD00280,LinkedIn,Competitor Conquest,2025-06-16,1
LEAD00281,Organic Search,Retention Drive,2025-08-31,0
LEAD00282,Referral,Brand Awareness,2025-08-11,1
LEAD00283,Referral,Retention Drive,2025-12-31,1
LEAD00284,Referral,Brand Awareness,2025-06-01,0
LEAD00285,LinkedIn,Retention Drive,2025-10-07,0
LEAD00286,Cold Outreach,Competitor Conquest,2025-11-17,0
LEAD00287,Organic Search,Product Launch,2025-10-28,1
LEAD00288,Cold Outreach,Competitor Conquest,2026-01-07,0
LEAD00289,LinkedIn,Competitor Conquest,2025-12-10,0
LEAD00290,Cold Outreach,Product Launch,2026-02-25,0
LEAD00291,LinkedIn,Competitor Conquest,2026-02-05,1
LEAD00292,LinkedIn,Retention Drive,2025-07-08,0
LEAD00293,LinkedIn,Competitor Conquest,2025-03-21,0
LEAD00294,LinkedIn,Retention Drive,2025-05-21,0
LEAD00295,LinkedIn,Product Launch,2025-05-18,1
LEAD00296,LinkedIn,Competitor Conquest,2025-03-22,1
LEAD00297,Paid Search,Q1 Spring Push,2025-10-23,1
LEAD00298,Cold Outreach,Brand Awareness,2026-02-15,0
LEAD00299,Event,Q1 Spring Push,2025-06-21,0
LEAD00300,Cold Outreach,Product Launch,2026-01-22,0
LEAD00301,Paid Search,Retention Drive,2025-09-27,0
LEAD00302,Cold Outreach,Brand Awareness,2025-10-24,0
LEAD00303,Cold Outreach,Brand Awareness,2026-01-21,0
LEAD00304,LinkedIn,Product Launch,2026-03-05,0
LEAD00305,LinkedIn,Brand Awareness,2025-07-06,1
LEAD00306,Paid Search,Q1 Spring Push,2025-11-20,0
LEAD00307,Paid Search,Product Launch,2025-05-29,1
LEAD00308,Event,Retention Drive,2025-03-12,0
LEAD00309,Organic Search,Competitor Conquest,2025-07-19,0
LEAD00310,Organic Search,Product Launch,2026-03-03,0
LEAD00311,LinkedIn,Brand Awareness,2025-12-30,0
LEAD00312,Event,Retention Drive,2025-09-17,0
LEAD00313,LinkedIn,Q1 Spring Push,2026-01-10,1
LEAD00314,Cold Outreach,Product Launch,2025-03-24,0
LEAD00315,Paid Search,Product Launch,2026-01-04,0
LEAD00316,Referral,Q1 Spring Push,2026-01-31,0
LEAD00317,Referral,Competitor Conquest,2026-02-18,1
LEAD00318,Organic Search,Retention Drive,2025-05-12,0
LEAD00319,Organic Search,Brand Awareness,2026-02-17,1
LEAD00320,Cold Outreach,Q1 Spring Push,2026-01-21,1
LEAD00321,Event,Product Launch,2025-05-15,0
LEAD00322,Paid Search,Brand Awareness,2026-02-25,0
LEAD00323,Cold Outreach,Brand Awareness,2025-05-19,1
LEAD00324,Paid Search,Retention Drive,2025-05-02,0
LEAD00325,Event,Q1 Spring Push,2026-01-20,0
LEAD00326,Organic Search,Retention Drive,2025-11-20,0
LEAD00327,LinkedIn,Product Launch,2025-06-09,0
LEAD00328,Cold Outreach,Q1 Spring Push,2025-11-22,1
LEAD00329,Cold Outreach,Competitor Conquest,2025-09-05,0
LEAD00330,Paid Search,Competitor Conquest,2025-04-01,0
LEAD00331,Paid Search,Brand Awareness,2025-08-29,0
LEAD00332,Event,Product Launch,2025-08-15,0
LEAD00333,LinkedIn,Q1 Spring Push,2025-07-16,1
LEAD00334,Paid Search,Competitor Conquest,2025-09-08,1
LEAD00335,Event,Q1 Spring Push,2026-01-28,0
LEAD00336,Organic Search,Competitor Conquest,2025-10-17,0
LEAD00337,Cold Outreach,Brand Awareness,2025-03-25,0
LEAD00338,Referral,Product Launch,2025-06-01,0
LEAD00339,Referral,Product Launch,2026-02-04,0
LEAD00340,Referral,Brand Awareness,2025-12-10,0
LEAD00341,Cold Outreach,Competitor Conquest,2025-04-01,1
LEAD00342,Referral,Retention Drive,2025-04-08,1
LEAD00343,Organic Search,Product Launch,2025-08-21,0
LEAD00344,Event,Q1 Spring Push,2025-12-15,0
LEAD00345,Paid Search,Brand Awareness,2025-11-29,1
LEAD00346,Referral,Q1 Spring Push,2025-11-12,0
LEAD00347,Cold Outreach,Competitor Conquest,2025-10-20,0
LEAD00348,Event,Retention Drive,2025-10-23,0
LEAD00349,Cold Outreach,Competitor Conquest,2025-09-10,0
LEAD00350,Event,Competitor Conquest,2025-07-06,0
LEAD00351,Paid Search,Competitor Conquest,2026-01-15,0
LEAD00352,Referral,Competitor Conquest,2025-11-13,1
LEAD00353,Paid Search,Q1 Spring Push,2026-01-20,0
LEAD00354,Organic Search,Competitor Conquest,2025-03-29,0
LEAD00355,Paid Search,Competitor Conquest,2025-05-06,1
LEAD00356,Paid Search,Brand Awareness,2025-04-27,0
LEAD00357,Organic Search,Retention Drive,2025-07-02,0
LEAD00358,Paid Search,Brand Awareness,2025-04-07,0
LEAD00359,Event,Brand Awareness,2025-06-07,0
LEAD00360,Event,Retention Drive,2026-03-02,0
LEAD00361,Organic Search,Competitor Conquest,2026-01-10,0
LEAD00362,LinkedIn,Competitor Conquest,2025-07-28,0
LEAD00363,Organic Search,Product Launch,2025-05-30,0
LEAD00364,LinkedIn,Product Launch,2025-07-03,0
LEAD00365,LinkedIn,Competitor Conquest,2025-07-05,0
LEAD00366,Event,Competitor Conquest,2025-04-08,0
LEAD00367,Event,Retention Drive,2025-07-14,0
LEAD00368,Paid Search,Retention Drive,2026-02-11,0
LEAD00369,Referral,Retention Drive,2025-08-30,0
LEAD00370,LinkedIn,Brand Awareness,2025-09-28,0
LEAD00371,Event,Q1 Spring Push,2026-01-05,1
LEAD00372,LinkedIn,Retention Drive,2026-02-26,0
LEAD00373,Cold Outreach,Brand Awareness,2025-08-29,0
LEAD00374,LinkedIn,Brand Awareness,2025-08-13,1
LEAD00375,Cold Outreach,Product Launch,2025-11-05,0
LEAD00376,LinkedIn,Retention Drive,2026-01-27,0
LEAD00377,Organic Search,Brand Awareness,2026-01-12,0
LEAD00378,Organic Search,Retention Drive,2025-09-26,0
LEAD00379,Cold Outreach,Competitor Conquest,2025-05-25,1
LEAD00380,Referral,Brand Awareness,2026-03-01,0
LEAD00381,Event,Q1 Spring Push,2025-09-30,0
LEAD00382,Referral,Brand Awareness,2025-05-22,0
LEAD00383,Referral,Q1 Spring Push,2025-03-23,1
LEAD00384,LinkedIn,Competitor Conquest,2025-06-27,0
LEAD00385,Cold Outreach,Brand Awareness,2025-12-16,0
LEAD00386,LinkedIn,Competitor Conquest,2025-11-28,0
LEAD00387,Organic Search,Retention Drive,2025-11-22,0
LEAD00388,Organic Search,Brand Awareness,2025-05-22,0
LEAD00389,Paid Search,Retention Drive,2026-01-23,0
LEAD00390,Event,Q1 Spring Push,2025-05-12,0
LEAD00391,Organic Search,Retention Drive,2025-06-13,0
LEAD00392,Paid Search,Brand Awareness,2026-01-31,0
LEAD00393,LinkedIn,Retention Drive,2025-10-09,0
LEAD00394,Event,Brand Awareness,2025-11-29,0
LEAD00395,LinkedIn,Retention Drive,2025-06-21,0
LEAD00396,Event,Product Launch,2026-03-02,0
LEAD00397,Event,Product Launch,2025-05-20,0
LEAD00398,Cold Outreach,Competitor Conquest,2025-10-25,0
LEAD00399,Event,Retention Drive,2025-08-01,0
LEAD00400,Cold Outreach,Q1 Spring Push,2025-06-17,0
LEAD00401,Referral,Product Launch,2025-11-08,0
LEAD00402,Cold Outreach,Brand Awareness,2025-08-01,1
LEAD00403,Organic Search,Product Launch,2025-08-12,0
LEAD00404,LinkedIn,Product Launch,2025-10-31,0
LEAD00405,Paid Search,Competitor Conquest,2025-11-09,0
LEAD00406,Paid Search,Q1 Spring Push,2025-11-06,1
LEAD00407,LinkedIn,Competitor Conquest,2025-07-06,0
LEAD00408,Referral,Competitor Conquest,2025-04-14,0
LEAD00409,Paid Search,Product Launch,2025-10-23,0
LEAD00410,LinkedIn,Brand Awareness,2025-04-08,1
LEAD00411,Cold Outreach,Q1 Spring Push,2025-07-06,0
LEAD00412,Organic Search,Q1 Spring Push,2025-10-02,0
LEAD00413,Organic Search,Competitor Conquest,2025-09-06,0
LEAD00414,Organic Search,Competitor Conquest,2025-12-30,0
LEAD00415,Event,Retention Drive,2026-01-09,0
LEAD00416,Event,Retention Drive,2025-11-03,0
LEAD00417,Organic Search,Product Launch,2025-05-08,0
LEAD00418,LinkedIn,Brand Awareness,2025-05-16,1
LEAD00419,Cold Outreach,Product Launch,2025-08-07,0
LEAD00420,Organic Search,Product Launch,2025-11-22,0
LEAD00421,Referral,Competitor Conquest,2025-11-01,0
LEAD00422,Organic Search,Competitor Conquest,2025-06-11,0
LEAD00423,Organic Search,Brand Awareness,2025-06-05,0
LEAD00424,Cold Outreach,Product Launch,2025-10-20,0
LEAD00425,Paid Search,Brand Awareness,2025-07-11,0
LEAD00426,LinkedIn,Q1 Spring Push,2025-04-15,0
LEAD00427,Event,Q1 Spring Push,2025-04-06,0
LEAD00428,Organic Search,Product Launch,2025-11-02,0
LEAD00429,LinkedIn,Brand Awareness,2025-03-26,0
LEAD00430,Paid Search,Competitor Conquest,2025-08-25,1
LEAD00431,Referral,Brand Awareness,2025-10-08,1
LEAD00432,Paid Search,Brand Awareness,2025-11-24,1
LEAD00433,Paid Search,Competitor Conquest,2025-04-22,0
LEAD00434,Cold Outreach,Competitor Conquest,2026-02-22,0
LEAD00435,Organic Search,Competitor Conquest,2025-07-13,0
LEAD00436,LinkedIn,Competitor Conquest,2026-01-19,0
LEAD00437,Cold Outreach,Brand Awareness,2025-06-25,0
LEAD00438,Referral,Retention Drive,2025-06-04,1
LEAD00439,Referral,Q1 Spring Push,2026-02-13,0
LEAD00440,Paid Search,Competitor Conquest,2025-04-17,0
LEAD00441,Referral,Product Launch,2025-04-24,1
LEAD00442,Event,Q1 Spring Push,2026-01-14,0
LEAD00443,Event,Product Launch,2025-05-11,1
LEAD00444,LinkedIn,Competitor Conquest,2025-07-10,0
LEAD00445,Paid Search,Brand Awareness,2025-12-13,0
LEAD00446,LinkedIn,Brand Awareness,2025-11-30,0
LEAD00447,LinkedIn,Product Launch,2025-08-22,1
LEAD00448,Event,Product Launch,2026-03-01,0
LEAD00449,Event,Retention Drive,2025-04-25,0
LEAD00450,Organic Search,Competitor Conquest,2025-11-30,0
LEAD00451,Paid Search,Q1 Spring Push,2025-08-18,0
LEAD00452,Event,Brand Awareness,2025-12-25,0
LEAD00453,LinkedIn,Product Launch,2025-05-25,1
LEAD00454,Cold Outreach,Retention Drive,2025-08-01,1
LEAD00455,Referral,Competitor Conquest,2026-01-10,0
LEAD00456,Paid Search,Product Launch,2025-10-26,0
LEAD00457,Referral,Competitor Conquest,2026-01-04,0
LEAD00458,Paid Search,Retention Drive,2025-11-21,0
LEAD00459,LinkedIn,Product Launch,2025-08-09,0
LEAD00460,Paid Search,Q1 Spring Push,2025-10-14,0
LEAD00461,Paid Search,Retention Drive,2025-07-24,0
LEAD00462,LinkedIn,Retention Drive,2025-03-26,0
LEAD00463,Organic Search,Q1 Spring Push,2025-07-14,0
LEAD00464,LinkedIn,Competitor Conquest,2025-03-25,1
LEAD00465,Referral,Competitor Conquest,2025-05-10,0
LEAD00466,Organic Search,Retention Drive,2026-02-09,0
LEAD00467,Paid Search,Competitor Conquest,2025-09-11,1
LEAD00468,Cold Outreach,Retention Drive,2025-03-13,0
LEAD00469,Organic Search,Q1 Spring Push,2025-11-02,0
