opportunity_id,account_id,stage,pipeline_value,close_date,created_date,win_flag
OPP00190,ACC0152,Demo,100290,2025-10-03,2025-08-30,
OPP00191,ACC0077,Closed Won,42293,2025-11-07,2025-08-21,1.0
OPP00192,ACC0107,Prospecting,27998,2025-10-07,2025-06-11,
OPP00193,ACC0007,Closed Won,97860,2025-06-09,2025-04-17,1.0
OPP00194,ACC0014,Demo,41749,2025-06-23,2025-04-10,
OPP00195,ACC0098,Discovery,57853,2025-07-01,2025-04-17,
OPP00196,ACC0177,Negotiation,26868,2026-03-25,2025-11-26,
OPP00197,ACC0189,Proposal,48511,2026-01-02,2025-10-28,
OPP00198,ACC0170,Discovery,20029,2026-04-23,2026-01-09,
OPP00199,ACC0137,Demo,115839,2025-08-30,2025-06-10,
OPP00200,ACC0165,Demo,138355,2025-11-09,2025-08-18,
OPP00201,ACC0077,Proposal,86729,2025-12-28,2025-09-27,
OPP00202,ACC0126,Closed Won,90024,2025-12-08,2025-10-17,1.0
OPP00203,ACC0174,Demo,25487,2025-11-14,2025-08-31,
OPP00204,ACC0198,Closed Won,29114,2025-07-08,2025-05-07,1.0
OPP00205,ACC0138,Prospecting,55931,2026-01-17,2025-11-27,
OPP00206,ACC0151,Negotiation,9944,2025-12-18,2025-09-24,
OPP00207,ACC0060,Prospecting,74470,2025-11-24,2025-10-10,
OPP00208,ACC0198,Demo,50597,2026-02-09,2026-01-14,
OPP00209,ACC0122,Closed Lost,210680,2025-12-15,2025-12-01,0.0
OPP00210,ACC0166,Discovery,92773,2025-09-15,2025-06-10,
OPP00211,ACC0186,Prospecting,45201,2026-05-02,2026-01-10,
OPP00212,ACC0192,Demo,59024,2026-02-26,2026-01-21,
OPP00213,ACC0086,Prospecting,40315,2025-10-02,2025-09-14,
OPP00214,ACC0035,Closed Lost,40840,2025-11-28,2025-09-17,0.0
OPP00215,ACC0188,Demo,68406,2025-08-08,2025-05-27,
OPP00216,ACC0076,Demo,7079,2025-09-24,2025-06-20,
OPP00217,ACC0172,Closed Won,37159,2025-08-03,2025-04-25,1.0
OPP00218,ACC0002,Closed Lost,22423,2026-01-29,2025-12-23,0.0
OPP00219,ACC0003,Discovery,13618,2025-12-01,2025-09-29,
OPP00220,ACC0120,Demo,12218,2026-01-04,2025-09-29,
OPP00221,ACC0181,Demo,37533,2025-10-09,2025-09-05,
OPP00222,ACC0158,Discovery,81644,2025-12-14,2025-09-03,
OPP00223,ACC0156,Closed Lost,34374,2025-11-30,2025-10-19,0.0
OPP00224,ACC0153,Closed Won,111778,2025-10-08,2025-08-02,1.0
OPP00225,ACC0145,Demo,49185,2026-03-21,2025-12-30,
OPP00226,ACC0138,Closed Won,72623,2026-01-04,2025-12-14,1.0
OPP00227,ACC0053,Demo,37481,2025-12-30,2025-11-25,
OPP00228,ACC0117,Prospecting,39122,2025-07-02,2025-04-17,
OPP00229,ACC0173,Demo,44303,2026-02-21,2025-12-04,
OPP00230,ACC0109,Prospecting,23917,2025-12-20,2025-09-05,
OPP00231,ACC0197,Prospecting,12245,2025-11-28,2025-08-17,
OPP00232,ACC0115,Negotiation,7439,2026-03-24,2025-12-02,
OPP00233,ACC0058,Prospecting,30694,2025-10-01,2025-07-31,
OPP00234,ACC0140,Prospecting,15560,2026-05-29,2026-02-08,
OPP00235,ACC0040,Demo,18254,2025-09-27,2025-07-07,
OPP00236,ACC0170,Closed Lost,51437,2025-10-29,2025-09-21,0.0
OPP00237,ACC0009,Closed Won,23187,2025-10-10,2025-07-10,1.0
OPP00238,ACC0012,Negotiation,71422,2025-09-24,2025-06-26,
OPP00239,ACC0075,Discovery,10646,2025-09-27,2025-07-19,
OPP00240,ACC0198,Closed Lost,46500,2026-02-08,2025-10-13,0.0
OPP00241,ACC0057,Demo,8596,2025-10-12,2025-08-29,
OPP00242,ACC0189,Demo,43942,2025-09-03,2025-07-13,
OPP00243,ACC0089,Negotiation,39357,2026-02-14,2025-11-12,
OPP00244,ACC0105,Demo,40561,2025-06-24,2025-03-17,
OPP00245,ACC0058,Demo,70489,2026-01-16,2025-11-25,
OPP00246,ACC0106,Discovery,34412,2025-12-22,2025-09-09,
OPP00247,ACC0085,Proposal,29568,2025-10-04,2025-07-11,
OPP00248,ACC0069,Closed Lost,53144,2025-04-08,2025-03-15,0.0
OPP00249,ACC0172,Negotiation,100088,2025-11-08,2025-07-31,
OPP00250,ACC0004,Proposal,77667,2025-06-09,2025-04-29,
OPP00251,ACC0155,Closed Lost,34955,2025-12-01,2025-10-24,0.0
OPP00252,ACC0098,Closed Lost,49931,2025-12-31,2025-10-28,0.0
OPP00253,ACC0128,Negotiation,24087,2025-09-06,2025-06-16,
OPP00254,ACC0082,Closed Won,130685,2025-07-12,2025-06-16,1.0
OPP00255,ACC0185,Demo,43299,2025-12-28,2025-10-28,
OPP00256,ACC0063,Discovery,24922,2025-08-31,2025-07-11,
OPP00257,ACC0126,Negotiation,51102,2025-08-22,2025-05-30,
OPP00258,ACC0126,Proposal,7166,2025-07-04,2025-03-18,
OPP00259,ACC0020,Closed Lost,135696,2026-01-29,2025-11-07,0.0
OPP00260,ACC0018,Prospecting,9441,2026-05-07,2026-01-16,
OPP00261,ACC0164,Discovery,34055,2025-12-09,2025-11-24,
OPP00262,ACC0185,Negotiation,32088,2025-06-14,2025-03-31,
OPP00263,ACC0046,Closed Lost,124522,2025-12-13,2025-09-22,0.0
OPP00264,ACC0065,Proposal,14257,2026-01-12,2025-12-17,
OPP00265,ACC0179,Closed Won,33713,2025-09-29,2025-08-12,1.0
OPP00266,ACC0167,Negotiation,144174,2025-12-08,2025-10-17,
OPP00267,ACC0164,Demo,26325,2026-02-18,2026-01-24,
OPP00268,ACC0085,Discovery,36303,2026-05-19,2026-02-05,
OPP00269,ACC0178,Closed Won,76639,2025-05-22,2025-04-26,1.0
OPP00270,ACC0169,Demo,18777,2025-07-08,2025-04-25,
OPP00271,ACC0183,Closed Lost,58815,2026-03-01,2026-01-24,0.0
OPP00272,ACC0100,Demo,44470,2025-08-13,2025-07-21,
OPP00273,ACC0177,Demo,174651,2025-07-04,2025-05-09,
OPP00274,ACC0060,Closed Won,28726,2026-03-19,2025-12-31,1.0
OPP00275,ACC0199,Negotiation,53446,2026-02-28,2026-01-02,
OPP00276,ACC0059,Negotiation,73736,2025-09-12,2025-08-26,
OPP00277,ACC0170,Closed Lost,27119,2025-11-03,2025-08-11,0.0
OPP00278,ACC0019,Closed Won,25017,2025-08-23,2025-07-30,1.0
OPP00279,ACC0190,Discovery,80300,2026-02-15,2025-12-29,
OPP00280,ACC0027,Demo,26428,2025-09-17,2025-07-25,
OPP00281,ACC0105,Discovery,31018,2025-12-29,2025-12-04,
OPP00282,ACC0084,Prospecting,43679,2026-01-05,2025-12-19,
OPP00283,ACC0144,Demo,30692,2025-08-11,2025-07-27,
OPP00284,ACC0069,Proposal,49328,2026-01-03,2025-10-08,
OPP00285,ACC0108,Proposal,12579,2025-10-26,2025-09-08,
OPP00286,ACC0158,Closed Won,66256,2025-11-23,2025-09-09,1.0
OPP00287,ACC0085,Discovery,19806,2026-01-12,2025-11-01,
OPP00288,ACC0153,Demo,129627,2025-08-24,2025-06-29,
OPP00289,ACC0178,Demo,90029,2026-01-23,2025-12-02,
OPP00290,ACC0072,Closed Lost,64477,2025-06-06,2025-03-22,0.0
OPP00291,ACC0140,Discovery,45022,2025-09-21,2025-07-23,
OPP00292,ACC0075,Closed Won,78371,2026-02-18,2025-11-09,1.0
OPP00293,ACC0036,Closed Won,125270,2026-05-03,2026-01-05,1.0
OPP00294,ACC0097,Discovery,78017,2025-05-13,2025-03-22,
OPP00295,ACC0130,Closed Lost,34629,2026-03-15,2026-01-03,0.0
OPP00296,ACC0022,Prospecting,104319,2025-10-01,2025-07-10,
OPP00297,ACC0157,Discovery,47626,2026-04-07,2025-12-16,
OPP00298,ACC0193,Closed Lost,54485,2026-04-14,2026-01-18,0.0
OPP00299,ACC0149,Demo,37438,2025-12-17,2025-08-24,
OPP00300,ACC0151,Demo,18839,2025-06-02,2025-04-21,
OPP00301,ACC0117,Demo,17771,2025-07-01,2025-05-29,
OPP00302,ACC0179,Proposal,34261,2026-01-15,2025-10-27,
OPP00303,ACC0028,Prospecting,13394,2025-08-16,2025-06-23,
OPP00304,ACC0144,Discovery,21333,2026-03-05,2025-11-17,
OPP00305,ACC0164,Discovery,30953,2025-09-17,2025-07-06,
OPP00306,ACC0152,Prospecting,44139,2025-09-05,2025-07-03,
OPP00307,ACC0181,Prospecting,21112,2025-09-06,2025-07-05,
OPP00308,ACC0084,Discovery,68044,2026-04-05,2026-01-08,
OPP00309,ACC0164,Discovery,57463,2026-01-12,2025-11-01,
OPP00310,ACC0091,Demo,30746,2025-12-01,2025-09-02,
OPP00311,ACC0158,Discovery,119952,2025-09-21,2025-06-20,
OPP00312,ACC0030,Negotiation,25933,2025-05-07,2025-04-13,
OPP00313,ACC0036,Negotiation,37255,2026-01-08,2025-11-08,
OPP00314,ACC0166,Demo,34907,2025-06-23,2025-04-21,
OPP00315,ACC0116,Discovery,25425,2026-02-06,2025-11-13,
OPP00316,ACC0050,Closed Won,120958,2025-04-18,2025-03-29,1.0
OPP00317,ACC0107,Proposal,35529,2025-10-21,2025-07-28,
OPP00318,ACC0057,Discovery,56371,2025-09-11,2025-06-27,
OPP00319,ACC0118,Demo,38640,2025-10-01,2025-09-13,
OPP00320,ACC0147,Closed Won,35841,2025-08-13,2025-04-26,1.0
OPP00321,ACC0194,Closed Won,73186,2026-01-30,2025-12-13,1.0
OPP00322,ACC0009,Closed Won,59348,2026-05-10,2026-01-19,1.0
OPP00323,ACC0031,Demo,78821,2025-08-10,2025-06-24,
OPP00324,ACC0182,Closed Won,43732,2025-11-20,2025-10-11,1.0
OPP00325,ACC0053,Demo,76185,2025-07-06,2025-04-03,
OPP00326,ACC0083,Demo,18932,2026-04-06,2026-01-10,
OPP00327,ACC0174,Proposal,130434,2025-11-03,2025-09-13,
OPP00328,ACC0064,Closed Lost,11044,2026-01-23,2025-12-23,0.0
OPP00329,ACC0097,Discovery,59173,2025-10-07,2025-07-23,
OPP00330,ACC0095,Negotiation,37410,2025-07-16,2025-06-23,
OPP00331,ACC0118,Demo,119020,2025-09-06,2025-06-22,
OPP00332,ACC0083,Negotiation,87757,2025-06-28,2025-03-21,
OPP00333,ACC0005,Proposal,104869,2025-11-13,2025-09-17,
OPP00334,ACC0034,Demo,9780,2026-01-11,2025-12-08,
OPP00335,ACC0168,Discovery,82293,2025-05-05,2025-03-14,
OPP00336,ACC0014,Prospecting,69084,2025-09-24,2025-08-09,
OPP00337,ACC0168,Demo,51917,2025-10-24,2025-07-22,
OPP00338,ACC0152,Prospecting,23705,2026-04-08,2025-12-25,
OPP00339,ACC0019,Negotiation,32117,2026-01-05,2025-10-17,
OPP00340,ACC0095,Prospecting,58001,2025-12-17,2025-10-15,
OPP00341,ACC0018,Demo,66291,2025-10-10,2025-09-09,
OPP00342,ACC0185,Prospecting,52456,2025-08-08,2025-05-14,
OPP00343,ACC0114,Closed Won,162919,2026-01-25,2025-10-23,1.0
OPP00344,ACC0187,Closed Won,20672,2025-11-15,2025-10-21,1.0
OPP00345,ACC0071,Closed Lost,27012,2025-09-24,2025-07-28,0.0
OPP00346,ACC0073,Discovery,59703,2025-04-09,2025-03-16,
OPP00347,ACC0049,Closed Won,12985,2026-05-05,2026-01-27,1.0
OPP00348,ACC0062,Negotiation,240078,2025-09-13,2025-07-24,
OPP00349,ACC0136,Discovery,36264,2025-08-03,2025-06-01,
OPP00350,ACC0175,Closed Lost,42104,2026-04-04,2026-02-03,0.0
OPP00351,ACC0056,Proposal,41010,2026-03-04,2025-11-13,
OPP00352,ACC0183,Closed Lost,29845,2026-02-10,2026-01-20,0.0
OPP00353,ACC0138,Demo,49112,2025-09-18,2025-05-29,
OPP00354,ACC0151,Discovery,17988,2025-08-10,2025-05-10,
OPP00355,ACC0179,Closed Won,47386,2025-07-11,2025-03-22,1.0
OPP00356,ACC0112,Closed Lost,22589,2025-10-16,2025-07-01,0.0
OPP00357,ACC0004,Negotiation,47246,2026-02-22,2025-12-12,
OPP00358,ACC0133,Prospecting,36043,2026-03-14,2025-12-01,
OPP00359,ACC0008,Demo,52181,2025-11-04,2025-09-30,
OPP00360,ACC0148,Demo,37965,2025-12-17,2025-08-22,
OPP00361,ACC0146,Proposal,36889,2025-04-17,2025-03-25,
OPP00362,ACC0190,Discovery,47578,2026-01-16,2025-11-16,
OPP00363,ACC0121,Prospecting,70216,2025-06-08,2025-05-25,
OPP00364,ACC0058,Closed Lost,85231,2025-10-09,2025-08-07,0.0
OPP00365,ACC0020,Demo,54988,2025-10-13,2025-08-29,
OPP00366,ACC0058,Discovery,46681,2025-06-23,2025-04-23,
OPP00367,ACC0073,Closed Lost,12016,2025-06-09,2025-05-21,0.0
OPP00368,ACC0075,Prospecting,33055,2025-10-28,2025-09-03,
OPP00369,ACC0152,Demo,49721,2025-08-19,2025-04-27,
OPP00370,ACC0063,Closed Won,73394,2025-09-22,2025-06-02,1.0
OPP00371,ACC0003,Closed Lost,66745,2025-12-08,2025-11-24,0.0
OPP00372,ACC0079,Closed Won,18990,2025-09-05,2025-08-22,1.0
OPP00373,ACC0016,Proposal,17901,2026-01-27,2025-12-18,
OPP00374,ACC0134,Demo,16083,2026-03-14,2025-11-29,
OPP00375,ACC0149,Closed Won,28965,2025-10-24,2025-07-13,1.0
OPP00376,ACC0034,Discovery,42819,2026-03-11,2025-12-23,
OPP00377,ACC0180,Demo,10151,2025-12-01,2025-10-11,
OPP00378,ACC0031,Proposal,32830,2025-10-19,2025-08-26,
OPP00379,ACC0068,Closed Lost,20331,2025-07-09,2025-05-11,0.0
OPP00380,ACC0179,Discovery,158067,2026-01-04,2025-12-10,
OPP00381,ACC0183,Discovery,64511,2025-04-26,2025-04-07,
OPP00382,ACC0045,Demo,15020,2025-12-03,2025-10-05,
OPP00383,ACC0025,Closed Won,43075,2026-03-31,2026-01-25,1.0
