account_id,contract_value,renewal_date,expansion_flag
ACC0115,14145,2026-11-19,0
ACC0116,50996,2026-08-10,1
ACC0117,60111,2027-04-25,1
ACC0118,16058,2026-12-03,0
ACC0119,12078,2026-12-25,0
ACC0120,16112,2027-02-18,0
ACC0121,23936,2027-01-11,0
ACC0122,9303,2027-04-19,0
ACC0123,47405,2026-12-14,1
ACC0124,10775,2027-05-04,0
ACC0125,25280,2027-05-03,0
ACC0126,20711,2027-02-03,1
ACC0127,11481,2027-01-07,0
ACC0128,53563,2026-05-30,1
ACC0129,29866,2026-08-18,0
ACC0130,42921,2026-06-28,1
ACC0131,11501,2027-02-21,0
ACC0132,34424,2026-12-26,0
ACC0133,21504,2026-10-23,1
ACC0134,15000,2026-10-19,1
ACC0135,55271,2026-06-05,1
ACC0136,11779,2027-02-24,0
ACC0137,26619,2027-01-16,1
ACC0138,20308,2027-04-23,0
ACC0139,50106,2026-09-08,1
ACC0140,11455,2026-10-17,0
ACC0141,8299,2026-12-14,0
ACC0142,21864,2027-01-29,0
ACC0143,61396,2026-08-05,1
ACC0144,42210,2026-09-26,1
ACC0145,33894,2026-12-11,0
ACC0146,25977,2027-03-07,1
ACC0147,7432,2026-08-11,0
ACC0148,31384,2027-06-02,1
ACC0149,14465,2026-10-06,0
ACC0150,16473,2026-10-15,0
ACC0151,13246,2027-02-17,0
ACC0152,17299,2027-06-15,0
ACC0153,8407,2026-06-30,0
ACC0154,28274,2026-07-22,0
ACC0155,42571,2026-10-20,1
ACC0156,24411,2026-10-01,0
ACC0157,17227,2027-05-06,0
ACC0158,18134,2027-04-08,0
ACC0159,19080,2027-02-24,0
ACC0160,18060,2027-04-15,0
ACC0161,19717,2027-02-23,0
ACC0162,86213,2026-06-08,1
ACC0163,16130,2027-05-17,0
ACC0164,20314,2026-12-29,0
ACC0165,14180,2026-05-29,0
ACC0166,28228,2026-09-01,0
ACC0167,31628,2026-11-01,1
ACC0168,33204,2027-01-01,0
ACC0169,14500,2026-10-15,0
ACC0170,7755,2027-04-15,0
ACC0171,15641,2027-04-02,0
ACC0172,10867,2026-11-27,0
ACC0173,67530,2027-01-25,1
ACC0174,11007,2026-10-01,0
ACC0175,12079,2026-11-17,0
ACC0176,6309,2026-09-29,0
ACC0177,12046,2027-02-05,0
ACC0178,15000,2027-03-12,1
ACC0179,20091,2026-07-07,1
ACC0180,64874,2026-08-07,1
ACC0181,65703,2026-06-20,1
ACC0182,54870,2026-12-26,1
ACC0183,9555,2027-06-11,0
ACC0184,43310,2027-05-12,1
ACC0185,14741,2027-03-05,0
ACC0186,8767,2026-08-06,0
ACC0187,94061,2026-09-15,1
ACC0188,68781,2026-07-17,1
ACC0189,39716,2026-06-03,1
ACC0190,14945,2026-12-24,0
ACC0191,49227,2026-10-19,1
ACC0192,5891,2027-01-14,0
ACC0193,13211,2026-07-15,0
ACC0194,10863,2026-09-27,0
ACC0195,9408,2026-07-15,0
ACC0196,13010,2027-03-31,0
ACC0197,33155,2027-04-16,0
ACC0198,19700,2026-09-29,0
ACC0199,33337,2027-05-16,1
ACC0200,19104,2026-08-22,0
ACC0201,27714,2027-05-20,0
ACC0202,22384,2027-02-03,0
ACC0203,15166,2026-09-16,0
ACC0204,11036,2026-11-14,0
ACC0205,62888,2027-02-10,1
ACC0206,17625,2027-03-19,0
ACC0207,22089,2027-01-02,0
ACC0208,19650,2026-11-27,0
ACC0209,23678,2027-03-09,0
ACC0210,11604,2026-06-11,0
ACC0211,26711,2027-04-15,0
ACC0212,16138,2027-05-05,0
ACC0213,37566,2026-08-25,0
ACC0214,10828,2026-09-25,0
ACC0215,32247,2027-06-08,0
ACC0216,48970,2026-09-13,1
ACC0217,32026,2026-10-27,1
ACC0218,11876,2027-05-02,0
ACC0219,12783,2027-04-10,0
ACC0220,54835,2026-07-28,1
ACC0221,18681,2027-06-03,0
ACC0222,33295,2027-04-15,1
ACC0223,14604,2026-10-29,0
ACC0224,38717,2027-01-05,0
ACC0225,105216,2026-06-30,1
ACC0226,17968,2026-08-18,0
ACC0227,15019,2026-06-01,0
ACC0228,47099,2026-06-15,1
ACC0229,19459,2027-05-14,0
ACC0230,9318,2026-12-30,0
ACC0231,39000,2026-08-17,1
ACC0232,19259,2026-08-15,1
ACC0233,17670,2027-01-06,0
ACC0234,61304,2026-08-22,1
ACC0235,11879,2027-02-19,0
ACC0236,29980,2027-05-10,0
ACC0237,8505,2027-03-27,0
ACC0238,7639,2027-03-24,0
ACC0239,16334,2027-01-15,0
ACC0240,74873,2027-03-29,1
ACC0241,31501,2027-03-15,0
ACC0242,35262,2027-01-13,1
ACC0243,23990,2027-04-06,0
ACC0244,14511,2027-01-11,0
ACC0245,13661,2026-10-09,0
ACC0246,21975,2027-06-08,0
ACC0247,19802,2026-06-08,0
ACC0248,20167,2026-10-27,1
ACC0249,28694,2027-02-27,0
ACC0250,27475,2026-07-14,0
ACC0251,11142,2026-07-27,0
ACC0252,17643,2026-08-01,0
ACC0253,18441,2026-09-23,0
ACC0254,16602,2027-02-26,0
ACC0255,11526,2026-07-25,0
ACC0256,10914,2026-12-17,0
ACC0257,14596,2027-03-22,0
ACC0258,25027,2026-08-06,0
ACC0259,58209,2026-08-29,1
ACC0260,12497,2026-09-24,0
ACC0261,20895,2026-09-29,0
ACC0262,5000,2027-02-13,0
ACC0263,24759,2027-03-03,0
ACC0264,6749,2026-09-29,0
ACC0265,12543,2026-07-10,0
ACC0266,8921,2027-02-28,0
ACC0267,23217,2026-10-09,1
ACC0268,24894,2026-08-06,0
ACC0269,11963,2026-06-20,0
ACC0270,17256,2026-09-11,0
ACC0271,43327,2026-09-18,1
ACC0272,18300,2026-07-13,0
ACC0273,15284,2027-04-13,0
ACC0274,8289,2026-12-31,0
ACC0275,23117,2027-03-04,0
ACC0276,34652,2026-11-09,1
ACC0277,7329,2027-05-12,0
ACC0278,12178,2026-11-17,0
ACC0279,93937,2026-06-03,1
ACC0280,21647,2027-05-04,0
ACC0281,12621,2027-06-03,0
ACC0282,37249,2026-11-10,1
ACC0283,37767,2027-06-13,1
ACC0284,37592,2027-03-24,0
ACC0285,53689,2027-05-16,1
ACC0286,54996,2026-07-18,1
ACC0287,23474,2027-02-28,0
ACC0288,16440,2026-06-27,0
ACC0289,13140,2027-06-16,0
ACC0290,13516,2026-06-11,0
ACC0291,14297,2026-11-25,0
ACC0292,14520,2027-05-08,0
ACC0293,63820,2027-02-11,1
ACC0294,15114,2027-06-18,0
ACC0295,20531,2026-08-18,0
ACC0296,42601,2026-08-12,1
ACC0297,15297,2027-03-20,0
ACC0298,6008,2026-10-23,0
ACC0299,22300,2026-07-07,0
ACC0300,52746,2026-10-23,1
